Citation	Full Reference	Data Type	Resource Type	Resource Type Comment	Methods	Methods Comment	Location	Year	Accession	Accession Type
1	Nyffeler, M., & Benz, G. (1980). The role of spiders as insect predators in cereal fields near Zurich (Switzerland). 8. Internationaler Arachnologen-Kongress: Abgehalten an Der Universität Für Bodenkultur, Wien - Verhandlungen. 8. Internationaler Arachnologen-Kongress. https://doi.org/10.3929/ethz-a-005778607	Analogue	Primary literature		Visual observation		Switzerland	1980	10.3929/ethz-a-005778607	DOI
2	Pearse, I. S., & Altermatt, F. (2013). Extinction cascades partially estimate herbivore losses in a complete Lepidoptera-plant food web. Ecology, 94(8), 1785–1794. https://doi.org/10.1890/12-1075.1	Digital	Primary literature		Visual observation and existing literature		Switzerland; Germany	2013	10.1890/12-1075.1	DOI
3	Redhead, J. W., Coombes, C. F., Dean, H. J., Dyer, R., Oliver, T. H., Pocock, M. J. O., Rorke, S. L., Vanbergen, A. J., Woodcock, B. A., & Pywell, R. F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b	Digital	Primary literature		Visual observation		United Kingdom	2018	10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b	DOI
4	Hölzel, H., Weißmair, W., & Speidel, W. (2002). Süßwasserfauna von Mitteleuropa. Bd. 15, 16, 17: Insecta: Megaloptera, Neuroptera, Lepidoptera: Spektrum Akademischer Verlag. https://books.google.ch/books?id=SfNMAAAAYAAJ	Analogue	Book	Identification literature	NA		NA	2002	978-38-2741-061-0	ISBN-13
5	Gossner, M. M., Simons, N. K., Achtziger, R., Blick, T., Dorow, W. H. O., Dziock, F., Köhler, F., Rabitsch, W., & Weisser, W. W. (2016). Data from: A summary of eight traits of Coleoptera, Hemiptera, Orthoptera and Araneae, occurring in grasslands in Germany (Version 1, p. 148522 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.53DS2	Digital	Primary literature		Metaanalysis		Germany	2016	10.5061/dryad.53ds2	DOI
6	Wallinger, C., Staudacher, K., Schallhart, N., Mitterutzner, E., Steiner, E.-M., Juen, A., Traugott, M., & Mitterrutzner, E. (2013). Data from: How generalist herbivores exploit belowground plant diversity in temperate grasslands (Version 1, p. 159386 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.F45Q2	Digital	Primary literature		DNA Metabarcoding; Experimental observation	Analysis of gut contents	Austria	2013	10.5061/dryad.f45q2	DOI
7	Maiorano, L., Montemaggiori, A., Ficetola, G. F., O’Connor, L., & Thuiller, W. (2021). Data from: Tetra-EU 1.0: a species-level trophic meta-web of European tetrapods (Version 3, p. 16654389 bytes) [Dataset]. Dryad. https://doi.org/10.5061/DRYAD.JM63XSJ7B	Digital	Database		Metaweb		Mainland Europe; Anatolia	2021	10.5061/DRYAD.JM63XSJ7B	DOI
8	Stephens, P. R., Pappalardo, P., Huang, S., Byers, J. E., Farrell, M. J., Gehman, A., Ghai, R. R., Haas, S. E., Han, B., Park, A. W., Schmidt, J. P., Altizer, S., Ezenwa, V. O., & Nunn, C. L. (2017). Global Mammal Parasite Database version 2.0. Ecology, 98(5), 1476–1476. https://doi.org/10.1002/ecy.1799	Digital	Database		Metaanalysis		Global	2017	10.1002/ecy.1799	DOI
9	Poelen, J. H. Global Biotic Interactions: Interpreted Data Products. Zenodo https://doi.org/10.5281/zenodo.5708970 (2021).	Digital	Database		Metaanalysis		Global	2021	10.5281/zenodo.5708970	DOI
10	Webb, J., Heaver, D., Lott, D., Dean, H. J., van Breda, J., Curson, J., Harvey, M. C., Gurney, M., Roy, D. B., van Breda, A., Drake, M., Alexander, K. N. A., & Foster, G. (2017). The Pantheon database: Habitat related traits, conservation status and taxa associations for invertebrates in England [Dataset]. NERC Environmental Information Data Centre. https://doi.org/10.5285/2a353d2d-c1b9-4bf7-8702-9e78910844bc	Digital	Database		Metaanalysis		United Kingdom	2017	10.5285/2a353d2d-c1b9-4bf7-8702-9e78910844bc	DOI
